id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1399571695829016576,Tue Jun 01 03:41:09 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Berita 27/04/2020
Omnibus Law Legalkan Penggunaan Ijazah dan Gelar Palsu? #OmnibusLaw via @jpnncom https://t.co/2CAeWq4U0L

Ini👆jadi di berlakukan ?
Tapi mending begonolah, dari pada cape2 skul, cape2 kuliah. Buang2 duit buat bayar kul. Bubarkan smua PT, Gubes &amp; dosen pensiunkan",berita omnibus law legalkan ijazah gelar palsu via berlakukan lebih baik begonolah capek skul capek kuliah buang duit bayar kul bubarkan smua pt gubes amp dosen pensiunkan,in,14,9,NcuhiRiwo,False,OmnibusLaw,jpnncom,"Di Jl. Juanda, Dago, Bandung",
1399571671145619456,Tue Jun 01 03:41:03 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@A_Kmpk @dabenone2 @Cobeh09 @msaid_didu @geloraco cebong itu pendukung jokowi
kampret itu pendukung prabowo
gitu bukan sih mas?
klo mase pendukung siapa?
biar saya bisa gantian nge-judge mase
😂😂😂",cebong pendukung jokowikampret pendukung prabowogitu bukan sih mas mase pendukung biar gantian nge judge mase,in,0,0,ardy_asmara,,,"A_Kmpk, dabenone2, Cobeh09, msaid_didu, geloraco",Cilacap,
1399564211076755460,Tue Jun 01 03:11:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@NUMURA @ChusnulCh__ anggap Jokowi slh tp sy kira Jokowi blajar pd Sun Yat Sen yg rela mundur demi persatuan bangsa China, dlm hal ini Jokowi rela membri sebagian posisi d Pemerintahan demi jaga peraatuan Indonesia, tdk ada lg cebong kampret stlh PS dilantik, ttg kejadian slanjutnya ya .........",anggap jokowi slh kira jokowi blajar sun yat sen rela mundur persatuan bangsa china dalam jokowi rela membri posisi pemerintahan jaga peraatuan indonesia tidak cebong sialan ps dilantik kejadian slanjutnya,in,1,0,wells0512,,,"NUMURA, ChusnulCh__",,
1399559729676914693,Tue Jun 01 02:53:36 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@news_benz Nah !!!!
Sok punya kekuasaan !!!! 🤬
Usut tuntas pemeriksaan BANTENG !! WAJIB !! HARUS MESTI KUDU !!!
#KPK #mahasiswa #OmnibusLaw #buruh #puisi 
#lawan #pendidikan #Islam #tidur #pilpres #Pilpres2024",sok kekuasaan usut tuntas pemeriksaan banteng wajib mesti,in,0,0,UM_akhsan,,"KPK, mahasiswa, OmnibusLaw, buruh, puisi, lawan, pendidikan, Islam, tidur, pilpres, Pilpres2024",news_benz,,
1399556881450889216,Tue Jun 01 02:42:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kunci sukses dr segala startup muda adalah #OmnibusLaw https://t.co/2Px0ER0ola,kunci sukses dr startup muda,in,0,0,SAK_KRAT,True,OmnibusLaw,,DAF 2002,
1399551544215760897,Tue Jun 01 02:21:05 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perkuat Persatuan Rebut Kedaulatan Rakyat !
Salam Muda Berani Militan !

#HariPancasila #HariLahirPancasila #Pancasila #DaruratDemokrasi #MosiTidakPercaya #WFTU #KonfederasiKASBI #PerkuatPersatuanRebutKedaualatanRakyat 
#MudaBeraniMilitan https://t.co/jyxB7BTOrI",perkuat persatuan rebut kedaulatan rakyat salam muda berani militan,in,0,0,AyahGalang5,False,"HariPancasila, HariLahirPancasila, Pancasila, DaruratDemokrasi, MosiTidakPercaya, WFTU, KonfederasiKASBI, PerkuatPersatuanRebutKedaualatanRakyat, MudaBeraniMilitan",,,
1399547331842777088,Tue Jun 01 02:04:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartikaicha18 @TakinBeutong @addiems @KING__VADUKA @jokowi @CutSarina5 ""salah satu bisnis""? Pala lu peyang.....Cebong paling top jaga warung mertua 😂😂😂",salah bisnis kepala peyang cebong paling top jaga warung mertua,in,2,0,andxz,,,"kartikaicha18, TakinBeutong, addiems, KING__VADUKA, jokowi, CutSarina5",Kebayoran,
1399542841647407109,Tue Jun 01 01:46:30 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@defense1994 @Baroes94460987 @daveastrawinata @Joditimer @marvel_fu @PGI_Oikoumene Hebat kali kau yg gaji pak jokowi.. 🤣🤣
Emang pajak yg kau bayar berapa sih, cukup gak bayar gaji dan tunjangan jokowi sebulan?? 🤣🤣
Cebong sudah kere berlagak pulak, presiden sendiri dihina-hina..
Btw, yg suka nonton bokep bukannya si ganjar ya?? 🤭🤭",hebat gaji jokowi pajak bayar sih tidak bayar gaji tunjangan jokowi sebulan cebong tidak punya uang berlagak pulak presiden dihina hina ngomong-ngomong suka nonton porno bukannya si ganjar,in,0,0,Amer_onet,,,"defense1994, Baroes94460987, daveastrawinata, Joditimer, marvel_fu, PGI_Oikoumene",,
1399541293605429258,Tue Jun 01 01:40:21 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@prahar_77 @kiki_media @eko_kuntadhi @fahdpahdepie Cebong pada gapunya akal ya. Logikanya bener² kosong. Klu ada orang yg jual foto Jokowi yg jual juga Jokowi gitu? Klu ada yg jual buku bung Karno, yg jual juga bung Karno gitu? Otak mana otak!",cebong gapunya akal logikanya benar kosong klu jual foto jokowi jual jokowi klu jual buku bung karno jual bung karno otak otak,in,0,0,MuharAristo,,,"prahar_77, kiki_media, eko_kuntadhi, fahdpahdepie",Padang,
1399536685319262208,Tue Jun 01 01:22:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@asboediono_id ,gimana Romo, 
Minta keadilan dituduh yang tidak baik sama cebong?
Tapi secara pribadi PGI terlibat dengan keadaan negara Indonesia saat ini, 
6 presiden sebelumnya tidak pernah terjadi seperti ini, 😭😭
#SemogaIndonesiaDamai https://t.co/Mer65hCxPF",romo keadilan dituduh tidak cebong pribadi pgi terlibat keadaan negara indonesia presiden tidak,in,0,0,ondarnis,False,SemogaIndonesiaDamai,asboediono_id,Tegakkan hukum di indo       ,
1399534070099415046,Tue Jun 01 01:11:39 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sila ke-3 Persatuan Indonesia, tp kita main kubu2an cebong &amp; kadrun, saling menjatuhkan satu sama lain, tdk bisa objektif",sila persatuan indonesia main kubu an cebong amp kadrun menjatuhkan tidak objektif,in,1,0,ide2nesia,,,,,
1399533077961928705,Tue Jun 01 01:07:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Dennysiregar7 Di Indonesia ada berapa kelompok sih bang?? Mungkin antara lain : kelompok radikal, kelompok kadrun, kelompok bipang, kelompok cebong, kelompok apalagi ya... Bang??? Suka suka ati abang aja deh mecah belahnya.",indonesia kelompok sih bang mungkin kelompok radikal kelompok kadrun kelompok bipang kelompok cebong kelompok bang suka suka ati abang deh mecah belahnya,in,0,0,JejenJa48004357,,,Dennysiregar7,,
